Year,Item.Group,Product.Classification,customer_category,Actual Margin
2020,Const Supplies CS/SD,CUTCUT,Good,33.12122176264715
2020,Const Supplies CS/SD,CUTDIE,Best,18.728571428571428
2020,Const Supplies CS/SD,CUTDIE,Better,24.99018453082057
2020,Const Supplies CS/SD,CUTDIE,Good,20.565962149468156
2020,Const Supplies CS/SD,CUTEND,Best,33.98425196850393
2020,Const Supplies CS/SD,CUTEND,Better,19.005129414235547
2020,Const Supplies CS/SD,CUTEND,Good,17.99208348326736
2020,Const Supplies CS/SD,CUTFIL,Best,24.470046082949303
2020,Const Supplies CS/SD,CUTFIL,Better,25.203252032520325
2020,Const Supplies CS/SD,CUTFIL,Good,21.421969696969697
2020,Const Supplies CS/SD,CUTHOL,Best,14.944134078212295
2020,Const Supplies CS/SD,CUTHOL,Better,30.075187969924812
2020,Const Supplies CS/SD,CUTHOL,Good,29.59815841230109
2020,Const Supplies CS/SD,CUTINS,Best,25.013491635186192
2020,Const Supplies CS/SD,CUTINS,Better,23.054145516074446
2020,Const Supplies CS/SD,CUTINS,Good,24.998319896638115
2020,Const Supplies CS/SD,CUTMIS,Best,23.468187801667398
2020,Const Supplies CS/SD,CUTMIS,Better,7.9999999999999964
2020,Const Supplies CS/SD,CUTMIS,Good,29.086956521739125
2020,Const Supplies CS/SD,CUTPUN,Best,18.0341319330489
2020,Const Supplies CS/SD,CUTPUN,Better,24.990839135214365
2020,Const Supplies CS/SD,CUTPUN,Good,15.571428571428566
2020,Const Supplies CS/SD,CUTREA,Best,21.66856853049322
2020,Const Supplies CS/SD,CUTREA,Better,20.58974358974359
2020,Const Supplies CS/SD,CUTREA,Good,24.997947173942787
2020,Const Supplies CS/SD,CUTTAP,Best,33.666292134831465
2020,Const Supplies CS/SD,CUTTAP,Better,26.33451957295374
2020,Const Supplies CS/SD,CUTTAP,Good,26.228902391358417
2020,Const Supplies CS/SD,CUTWHL,Best,25.000000000000007
2020,Const Supplies CS/SD,CUTWHL,Better,29.900332225913623
2020,Const Supplies CS/SD,CUTWHL,Good,28.373702422145335
2020,Const Supplies CS/SD,ELEADP,Best,34.61928934010152
2020,Const Supplies CS/SD,ELEADP,Better,20.0
2020,Const Supplies CS/SD,ELEADP,Good,31.578947368421055
2020,Const Supplies CS/SD,ELEBAT,Best,17.64705882352941
2020,Const Supplies CS/SD,ELEBAT,Better,30.0
2020,Const Supplies CS/SD,ELEBAT,Good,26.315789473684205
2020,Const Supplies CS/SD,ELEBUL,Best,16.89008042895442
2020,Const Supplies CS/SD,ELEBUL,Better,31.645569620253163
2020,Const Supplies CS/SD,ELEBUL,Good,21.757575757575758
2020,Const Supplies CS/SD,ELECAB,Best,11.261106136786276
2020,Const Supplies CS/SD,ELECAB,Better,14.053333333333343
2020,Const Supplies CS/SD,ELEEXT,Best,15.267175572519086
2020,Const Supplies CS/SD,ELEEXT,Better,21.913109756097562
2020,Const Supplies CS/SD,ELEEXT,Good,20.236280487804876
2020,Const Supplies CS/SD,ELEGFI,Best,15.96638655462184
2020,Const Supplies CS/SD,ELEGFI,Better,29.518599562363242
2020,Const Supplies CS/SD,ELEGFI,Good,31.647783482449107
2020,Const Supplies CS/SD,ELELIG,Best,19.11764705882353
2020,Const Supplies CS/SD,ELELIG,Better,19.992727272727272
2020,Const Supplies CS/SD,ELELIG,Good,20.0
2020,Const Supplies CS/SD,ELEMIS,Best,21.355841371918544
2020,Const Supplies CS/SD,ELEMIS,Better,18.996415770609328
2020,Const Supplies CS/SD,ELEMIS,Good,17.998417721518987
2020,Const Supplies CS/SD,ELEPAR,Better,36.05012585779288
2020,Const Supplies CS/SD,ELEPAR,Good,29.958450131506098
2020,Const Supplies CS/SD,ELEPLG,Best,16.000363603308777
2020,Const Supplies CS/SD,ELEPLG,Better,30.01402524544179
2020,Const Supplies CS/SD,ELEPLG,Good,28.19047619047619
2020,Const Supplies CS/SD,ELETAP,Best,16.43835616438356
2020,Const Supplies CS/SD,ELETAP,Better,29.069767441860467
2020,Const Supplies CS/SD,ELETAP,Good,25.333333333333325
2020,Const Supplies CS/SD,ELETRS,Good,48.73626373626374
2020,Const Supplies CS/SD,EQUACC,Better,35.03401360544217
2020,Const Supplies CS/SD,EQUACC,Good,37.115333568544905
2020,Const Supplies CS/SD,EQUCOM,Best,35.0
2020,Const Supplies CS/SD,EQUCOM,Better,45.50408719346049
2020,Const Supplies CS/SD,EQUCOM,Good,40.137283844999516
2020,Const Supplies CS/SD,EQUFAN,Best,16.477639471192443
2020,Const Supplies CS/SD,EQUFAN,Better,19.995038451997026
2020,Const Supplies CS/SD,EQUFAN,Good,20.00876616261232
2020,Const Supplies CS/SD,EQUGEN,Best,12.0
2020,Const Supplies CS/SD,EQUGEN,Better,8.556759840273816
2020,Const Supplies CS/SD,EQUGEN,Good,10.503298269744636
2020,Const Supplies CS/SD,EQUHEA,Best,18.957591514046264
2020,Const Supplies CS/SD,EQUHEA,Better,32.04058030627782
2020,Const Supplies CS/SD,EQUHEA,Good,24.03959102251323
2020,Const Supplies CS/SD,EQUJAC,Best,25.202877631676426
2020,Const Supplies CS/SD,EQUJAC,Better,20.0
2020,Const Supplies CS/SD,EQUJAC,Good,20.0
2020,Const Supplies CS/SD,EQULIG,Best,-7.256191950464396
2020,Const Supplies CS/SD,EQULIG,Better,37.61930488024491
2020,Const Supplies CS/SD,EQULIG,Good,37.83540428597154
2020,Const Supplies CS/SD,EQUMIS,Best,24.85549132947977
2020,Const Supplies CS/SD,EQUMIS,Better,20.0
2020,Const Supplies CS/SD,EQUMIS,Good,22.139396976530527
2020,Const Supplies CS/SD,EQUPIC,Best,100.0
2020,Const Supplies CS/SD,EQUPIC,Better,26.994616245034223
2020,Const Supplies CS/SD,EQUPIC,Good,14.437367303609348
2020,Const Supplies CS/SD,EQUPRE,Good,15.549219019063631
2020,Const Supplies CS/SD,EQUPUM,Best,20.22737587364982
2020,Const Supplies CS/SD,EQUPUM,Better,26.99923931980468
2020,Const Supplies CS/SD,EQUPUM,Good,22.499517698249765
2020,Const Supplies CS/SD,EQURAD,Good,19.745454545454546
2020,Const Supplies CS/SD,EQUTHR,Better,19.000210798927924
2020,Const Supplies CS/SD,EQUTHR,Good,9.690717065036134
2020,Const Supplies CS/SD,EQUVAC,Good,14.300573014595898
2020,Const Supplies CS/SD,FASANC,Best,36.00329119152941
2020,Const Supplies CS/SD,FASANC,Better,31.22404766203286
2020,Const Supplies CS/SD,FASANC,Good,17.943779854016487
2020,Const Supplies CS/SD,FASBOL,Best,24.033613445378162
2020,Const Supplies CS/SD,FASBOL,Better,34.516460905349795
2020,Const Supplies CS/SD,FASBOL,Good,19.46988191264761
2020,Const Supplies CS/SD,FASHIN,Better,33.883516211022254
2020,Const Supplies CS/SD,FASHIN,Good,24.55666923670008
2020,Const Supplies CS/SD,FASKEY,Good,48.342293906810035
2020,Const Supplies CS/SD,FASMIS,Better,29.48717948717949
2020,Const Supplies CS/SD,FASMIS,Good,32.66718156658299
2020,Const Supplies CS/SD,FASPAR,Best,50.0
2020,Const Supplies CS/SD,HANADP,Best,15.99069661279605
2020,Const Supplies CS/SD,HANADP,Better,28.54014598540146
2020,Const Supplies CS/SD,HANADP,Good,27.014218009478668
2020,Const Supplies CS/SD,HANBAG,Best,24.21875000000001
2020,Const Supplies CS/SD,HANBAG,Better,21.801405975395443
2020,Const Supplies CS/SD,HANBAG,Good,19.56235603817045
2020,Const Supplies CS/SD,HANBAR,Best,19.037995508620327
2020,Const Supplies CS/SD,HANBAR,Better,23.53231376418352
2020,Const Supplies CS/SD,HANBAR,Good,20.0
2020,Const Supplies CS/SD,HANBCU,Good,19.369797859690834
2020,Const Supplies CS/SD,HANBIT,Best,12.258064516129028
2020,Const Supplies CS/SD,HANBIT,Better,29.92700729927008
2020,Const Supplies CS/SD,HANBIT,Good,24.990130280300036
2020,Const Supplies CS/SD,HANBOX,Best,17.066666666666666
2020,Const Supplies CS/SD,HANBOX,Better,20.0
2020,Const Supplies CS/SD,HANBOX,Good,20.809160305343514
2020,Const Supplies CS/SD,HANBUL,Best,15.006385696040866
2020,Const Supplies CS/SD,HANBUL,Better,28.503228035505053
2020,Const Supplies CS/SD,HANBUL,Good,21.989528795811516
2020,Const Supplies CS/SD,HANCAL,Better,18.99985920245173
2020,Const Supplies CS/SD,HANCCT,Best,32.58319778011674
2020,Const Supplies CS/SD,HANCCT,Better,34.99745287824758
2020,Const Supplies CS/SD,HANCCT,Good,30.30952380952381
2020,Const Supplies CS/SD,HANCEM,Best,54.4041450777202
2020,Const Supplies CS/SD,HANCEM,Good,-15.614617940199343
2020,Const Supplies CS/SD,HANCHI,Best,19.146775012696803
2020,Const Supplies CS/SD,HANCHI,Better,26.978193146417446
2020,Const Supplies CS/SD,HANCHI,Good,27.181818181818183
2020,Const Supplies CS/SD,HANCLM,Best,18.11369829081001
2020,Const Supplies CS/SD,HANCLM,Better,21.83894917190176
2020,Const Supplies CS/SD,HANCLM,Good,19.26702201101353
2020,Const Supplies CS/SD,HANCOO,Best,25.09047044632086
2020,Const Supplies CS/SD,HANCOO,Better,20.01627339300245
2020,Const Supplies CS/SD,HANCOO,Good,21.995043370508057
2020,Const Supplies CS/SD,HANDIA,Best,21.859039836567923
2020,Const Supplies CS/SD,HANDIA,Better,19.00079023619282
2020,Const Supplies CS/SD,HANDIA,Good,10.526315789473687
2020,Const Supplies CS/SD,HANEXT,Best,20.948476716172124
2020,Const Supplies CS/SD,HANEXT,Better,16.675191815856785
2020,Const Supplies CS/SD,HANEXT,Good,26.23870806356858
2020,Const Supplies CS/SD,HANFLA,Best,19.70338983050848
2020,Const Supplies CS/SD,HANFLA,Better,23.996017258546303
2020,Const Supplies CS/SD,HANFLA,Good,22.32432432432433
2020,Const Supplies CS/SD,HANFUN,Better,25.284861638632666
2020,Const Supplies CS/SD,HANFUN,Good,23.25
2020,Const Supplies CS/SD,HANGAU,Best,16.000041252281765
2020,Const Supplies CS/SD,HANGAU,Better,17.593247437792222
2020,Const Supplies CS/SD,HANGAU,Good,13.888888888888893
2020,Const Supplies CS/SD,HANGUN,Best,15.994848931795836
2020,Const Supplies CS/SD,HANGUN,Better,25.91362126245847
2020,Const Supplies CS/SD,HANGUN,Good,24.11000090717053
2020,Const Supplies CS/SD,HANHAM,Best,17.19101123595506
2020,Const Supplies CS/SD,HANHAM,Better,22.967309304274938
2020,Const Supplies CS/SD,HANHAM,Good,20.01173708920187
2020,Const Supplies CS/SD,HANHAN,Best,25.521500990560547
2020,Const Supplies CS/SD,HANHAN,Better,33.716097987751525
2020,Const Supplies CS/SD,HANHAN,Good,25.459183673469383
2020,Const Supplies CS/SD,HANHEX,Best,25.641025641025642
2020,Const Supplies CS/SD,HANHEX,Better,22.72727272727272
2020,Const Supplies CS/SD,HANHEX,Good,27.076923076923077
2020,Const Supplies CS/SD,HANKNI,Best,16.05231992006959
2020,Const Supplies CS/SD,HANKNI,Better,25.5
2020,Const Supplies CS/SD,HANKNI,Good,22.50453720508167
2020,Const Supplies CS/SD,HANLEV,Best,15.29551835717164
2020,Const Supplies CS/SD,HANLEV,Better,23.74179431072211
2020,Const Supplies CS/SD,HANLEV,Good,20.0
2020,Const Supplies CS/SD,HANLOC,Best,28.447653429602887
2020,Const Supplies CS/SD,HANLOC,Better,23.555003107520196
2020,Const Supplies CS/SD,HANLOC,Good,23.555003107520196
2020,Const Supplies CS/SD,HANMAG,Best,15.975975975975967
2020,Const Supplies CS/SD,HANMAG,Better,23.157894736842106
2020,Const Supplies CS/SD,HANMAG,Good,19.96667748328372
2020,Const Supplies CS/SD,HANMIC,Better,18.99952446444781
2020,Const Supplies CS/SD,HANMIC,Good,10.526315789473694
2020,Const Supplies CS/SD,HANMIS,Best,20.02358490566037
2020,Const Supplies CS/SD,HANMIS,Better,24.79687500000001
2020,Const Supplies CS/SD,HANMIS,Good,26.058631921824098
2020,Const Supplies CS/SD,HANNUT,Best,21.46472707925222
2020,Const Supplies CS/SD,HANNUT,Better,23.00884955752212
2020,Const Supplies CS/SD,HANNUT,Good,21.028037383177576
2020,Const Supplies CS/SD,HANPIC,Best,23.499165654157792
2020,Const Supplies CS/SD,HANPIC,Good,14.990791896869245
2020,Const Supplies CS/SD,HANPIN,Best,20.780711825487945
2020,Const Supplies CS/SD,HANPIN,Better,21.0161662817552
2020,Const Supplies CS/SD,HANPIN,Good,20.43296619825294
2020,Const Supplies CS/SD,HANPLI,Best,15.998134328358207
2020,Const Supplies CS/SD,HANPLI,Better,20.001945903872354
2020,Const Supplies CS/SD,HANPLI,Good,19.999999999999996
2020,Const Supplies CS/SD,HANPLU,Best,15.02732240437159
2020,Const Supplies CS/SD,HANPLU,Better,-11.249999999999996
2020,Const Supplies CS/SD,HANPLU,Good,17.757009345794398
