Quarter,Group,customer_category,Product_Class,Stock,Profit_Margin
2020Q1,Const Supplies CS/SD,Best,SAFTAP,N,18.436578171091444
2020Q1,Const Supplies CS/SD,Best,SAFTAP,Y,36.054421768707485
2020Q1,Const Supplies CS/SD,Best,SAFTAR,N,38.820441205156854
2020Q1,Const Supplies CS/SD,Best,SAFTAR,Y,22.22817267121064
2020Q1,Const Supplies CS/SD,Best,SAFVES,Y,23.66589327146171
2020Q1,Const Supplies CS/SD,Best,SLNFIT,N,22.004806041881224
2020Q1,Const Supplies CS/SD,Best,SLNFIT,Y,22.14294152392203
2020Q1,Const Supplies CS/SD,Better,ABRBEL,N,26.227867590454196
2020Q1,Const Supplies CS/SD,Better,ABRBEL,Y,27.53086419753087
2020Q1,Const Supplies CS/SD,Better,ABRBEN,N,20.475827279455068
2020Q1,Const Supplies CS/SD,Better,ABRCON,N,19.09774436090226
2020Q1,Const Supplies CS/SD,Better,ABRCON,Y,26.54054054054054
2020Q1,Const Supplies CS/SD,Better,ABRFLD,N,30.029190434107278
2020Q1,Const Supplies CS/SD,Better,ABRFLD,Y,28.846153846153843
2020Q1,Const Supplies CS/SD,Better,ABRFLW,N,27.364864864864867
2020Q1,Const Supplies CS/SD,Better,ABRFLW,Y,27.803030303030308
2020Q1,Const Supplies CS/SD,Better,ABRHAN,N,28.57142857142857
2020Q1,Const Supplies CS/SD,Better,ABRHAN,Y,29.090909090909083
2020Q1,Const Supplies CS/SD,Better,ABRMAN,N,21.875000000000007
2020Q1,Const Supplies CS/SD,Better,ABRMAN,Y,10.820244328097733
2020Q1,Const Supplies CS/SD,Better,ABRMIS,N,19.388738331827764
2020Q1,Const Supplies CS/SD,Better,ABRMIS,Y,20.82089552238807
2020Q1,Const Supplies CS/SD,Better,ABRPAD,N,13.33333333333333
2020Q1,Const Supplies CS/SD,Better,ABRPAD,Y,10.27397260273972
2020Q1,Const Supplies CS/SD,Better,ABRRFD,N,29.861111111111107
2020Q1,Const Supplies CS/SD,Better,ABRRFD,Y,27.605633802816893
2020Q1,Const Supplies CS/SD,Better,ABRROL,N,22.453248031496067
2020Q1,Const Supplies CS/SD,Better,ABRROL,Y,19.69800960878518
2020Q1,Const Supplies CS/SD,Better,ABRSAN,N,30.097087378640783
2020Q1,Const Supplies CS/SD,Better,BRUBRO,N,34.644194756554306
2020Q1,Const Supplies CS/SD,Better,BRUBRO,Y,32.4915824915825
2020Q1,Const Supplies CS/SD,Better,BRUHAN,N,30.68493150684932
2020Q1,Const Supplies CS/SD,Better,BRUHAN,Y,0.0
2020Q1,Const Supplies CS/SD,Better,BRUMIS,N,19.2
