,Year,Group,Product_Class,customer_category,Profit_Margin,Product Class,Category,Target Margin,Margin Difference(%)
398,2020,Const Supplies CS/SD,HANWRP,Best,18.990325723477987,HANWRP,Best,28.0,-9.009674276522013
401,2020,Const Supplies CS/SD,HANWRS,Best,11.106606989782255,HANWRS,Best,28.0,-16.893393010217743
404,2020,Const Supplies CS/SD,HANWRT,Best,23.232323232323232,HANWRT,Best,28.0,-4.767676767676768
407,2020,Const Supplies CS/SD,HWCAHS,Best,16.302783501782617,HWCAHS,Best,28.0,-11.697216498217383
411,2020,Const Supplies CS/SD,HWCFIT,Best,15.19906655921295,HWCFIT,Best,28.0,-12.80093344078705
417,2020,Const Supplies CS/SD,HWCTIE,Best,20.637099128022914,HWCTIE,Best,28.0,-7.362900871977086
423,2020,Const Supplies CS/SD,HWCWAT,Best,28.8135593220339,HWCWAT,Best,28.0,0.8135593220338997
426,2020,Const Supplies CS/SD,HWCWIR,Best,23.481654796816088,HWCWIR,Best,28.0,-4.518345203183912
429,2020,Const Supplies CS/SD,HYDACC,Best,24.02471030032008,HYDACC,Best,34.0,-9.97528969967992
432,2020,Const Supplies CS/SD,HYDCYL,Best,16.84146461851133,HYDCYL,Best,22.0,-5.158535381488669
436,2020,Const Supplies CS/SD,HYDHOS,Best,13.621694591902244,HYDHOS,Best,22.0,-8.378305408097756
441,2020,Const Supplies CS/SD,HYDMIS,Best,23.68723623262995,HYDMIS,Best,22.0,1.6872362326299495
444,2020,Const Supplies CS/SD,HYDPUM,Best,20.321673138608983,HYDPUM,Best,22.0,-1.6783268613910174
447,2020,Const Supplies CS/SD,HYDPUN,Best,18.0341319330489,HYDPUN,Best,22.0,-3.9658680669510993
450,2020,Const Supplies CS/SD,LADMIS,Best,14.815498154981553,LADMIS,Best,22.0,-7.184501845018447
453,2020,Const Supplies CS/SD,LADPAR,Best,15.015243902439016,LADPAR,Best,34.0,-18.984756097560982
454,2020,Const Supplies CS/SD,LADPLA,Best,25.0,LADPLA,Best,22.0,3.0
457,2020,Const Supplies CS/SD,LADSTF,Best,14.999400503576997,LADSTF,Best,22.0,-7.000599496423003
460,2020,Const Supplies CS/SD,LADSTO,Best,24.99941575134377,LADSTO,Best,22.0,2.9994157513437685
463,2020,Const Supplies CS/SD,LIFBLO,Best,18.03312672319078,LIFBLO,Best,22.0,-3.9668732768092205
466,2020,Const Supplies CS/SD,LIFCHA,Best,15.00135025654875,LIFCHA,Best,22.0,-6.998649743451249
469,2020,Const Supplies CS/SD,LIFCLA,Best,15.981431288707922,LIFCLA,Best,22.0,-6.018568711292078
472,2020,Const Supplies CS/SD,LIFCLI,Best,20.83705360931841,LIFCLI,Best,22.0,-1.16294639068159
475,2020,Const Supplies CS/SD,LIFCSL,Best,12.0,LIFCSL,Best,22.0,-10.0
478,2020,Const Supplies CS/SD,LIFFIT,Best,24.6425884123401,LIFFIT,Best,22.0,2.6425884123401
481,2020,Const Supplies CS/SD,LIFHOI,Best,21.919280611113948,LIFHOI,Best,22.0,-0.08071938888605246
484,2020,Const Supplies CS/SD,LIFLAT,Best,27.031425364758697,LIFLAT,Best,22.0,5.031425364758697
487,2020,Const Supplies CS/SD,LIFMIS,Best,22.05768623007431,LIFMIS,Best,22.0,0.057686230074310174
490,2020,Const Supplies CS/SD,LIFNSL,Best,19.03431619926465,LIFNSL,Best,22.0,-2.9656838007353485
493,2020,Const Supplies CS/SD,LIFPRT,Best,25.458095560499086,LIFPRT,Best,34.0,-8.541904439500914
496,2020,Const Supplies CS/SD,LIFPSL,Best,22.000845155832714,LIFPSL,Best,22.0,0.0008451558327138287
499,2020,Const Supplies CS/SD,LIFPUL,Best,18.60524514269704,LIFPUL,Best,22.0,-3.39475485730296
502,2020,Const Supplies CS/SD,LIFROP,Best,18.79003969352903,LIFROP,Best,22.0,-3.2099603064709683
505,2020,Const Supplies CS/SD,LIFRSL,Best,22.01101928374656,LIFRSL,Best,22.0,0.011019283746559694
508,2020,Const Supplies CS/SD,LIFSHA,Best,25.495750708215294,LIFSHA,Best,22.0,3.4957507082152937
511,2020,Const Supplies CS/SD,LIFSPR,Best,4.034376427592513,LIFSPR,Best,22.0,-17.965623572407488
514,2020,Const Supplies CS/SD,LIFTRO,Best,12.000000000000002,LIFTRO,Best,22.0,-9.999999999999998
517,2020,Const Supplies CS/SD,LIFTUR,Best,20.004367765887743,LIFTUR,Best,22.0,-1.9956322341122572
521,2020,Const Supplies CS/SD,LIFWIR,Best,11.494252873563216,LIFWIR,Best,22.0,-10.505747126436784
524,2020,Const Supplies CS/SD,LIFWSL,Best,19.816060668606568,LIFWSL,Best,22.0,-2.1839393313934323
527,2020,Const Supplies CS/SD,MAIACC,Best,28.99408284023669,MAIACC,Best,34.0,-5.00591715976331
531,2020,Const Supplies CS/SD,MAIBUC,Best,14.975247524752476,MAIBUC,Best,38.0,-23.024752475247524
534,2020,Const Supplies CS/SD,MAICAN,Best,18.7305407704882,MAICAN,Best,38.0,-19.2694592295118
537,2020,Const Supplies CS/SD,MAIFIL,Best,18.29031033500996,MAIFIL,Best,38.0,-19.70968966499004
540,2020,Const Supplies CS/SD,MAIMIS,Best,32.266666666666666,MAIMIS,Best,38.0,-5.733333333333334
543,2020,Const Supplies CS/SD,MAIPOL,Best,16.105820105820104,MAIPOL,Best,34.0,-17.894179894179896
546,2020,Const Supplies CS/SD,MAIRAG,Best,20.835583895973997,MAIRAG,Best,38.0,-17.164416104026003
549,2020,Const Supplies CS/SD,MAITAP,Best,20.05141388174808,MAITAP,Best,38.0,-17.94858611825192
552,2020,Const Supplies CS/SD,MAITOW,Best,14.958663440926793,MAITOW,Best,38.0,-23.04133655907321
555,2020,Const Supplies CS/SD,MATBAN,Best,17.078567717886465,MATBAN,Best,22.0,-4.9214322821135355
558,2020,Const Supplies CS/SD,MATBOX,Best,15.000260375982924,MATBOX,Best,22.0,-6.999739624017076
561,2020,Const Supplies CS/SD,MATCAB,Best,33.66735977634301,MATCAB,Best,22.0,11.667359776343012
564,2020,Const Supplies CS/SD,MATCAN,Best,-7.306501547987615,MATCAN,Best,22.0,-29.306501547987615
567,2020,Const Supplies CS/SD,MATCAR,Best,23.191961517691063,MATCAR,Best,22.0,1.1919615176910625
572,2020,Const Supplies CS/SD,MATFUR,Best,30.00000000000001,MATFUR,Best,22.0,8.00000000000001
576,2020,Const Supplies CS/SD,MATMIS,Best,15.999719917375623,MATMIS,Best,22.0,-6.000280082624377
579,2020,Const Supplies CS/SD,MATPAL,Best,20.584872546681446,MATPAL,Best,22.0,-1.4151274533185543
583,2020,Const Supplies CS/SD,MATROL,Best,25.000930509547032,MATROL,Best,22.0,3.0009305095470324
